Name,Breed,Sex,Age,County,Urgent Status,Dog Compatibility,Cat Compatibility,Kid Compatibility,Energy,Temperament,Spayed/Neutered,Vaccinated,Description,URL
Max,Domestic Cat,Male,Young Adult,Riverside County,No,Unknown,Good,Good,Unknown,Unknown,Yes,Yes,"URGENT FOSTER/ADOPTER NEEDED! This handsome cat, Max is looking for a foster or better yet his forever family! Sadly, his owner is not able to keep him as she already has several other cats in her tiny apartment. Max is 1.5 year old- current on vaccines and neutered, so he is all ready to go home! In addition, Max is good with other cats and with kids. Would you be interested in opening your home and your heart to this boy? He deserves this chance! Please contact Jennifer Newman with Pumpkin Pawz Rescue at (714) 366-8170 if you are! Text is best. Let's all help find Max a home!",https://post.rescueme.org/26-02-25-00235
Marilyn,Domestic Cat,Female,Kitten,Riverside County,No,Unknown,Good,Good,Unknown,Unknown,Yes,Yes,"URGENT FOSTER/ADOPTER NEEDED! This adorable kitten, Marilyn Monroe is looking for a foster or better yet her forever family.  Sadly, her owner is not able to keep her as she already has several other cats in her small apartment.  Marilyn is about 6-7 months old. She's such a sweetheart- very friendly with children. She is good with other cats, too.  Spayed and current on vaccines!  Would you be interested in opening your home and your heart to this sweetheart? She deserves this chance!  Please contact Jennifer Newman with Pumpkin Pawz Rescue at (714) 366-8170 if you are! Text is best. Let's all help find Marilyn a home!",https://post.rescueme.org/26-02-25-00233
GARFIELD,Domestic Cat,Male,Young Adult,Riverside County,No,Unknown,Good,Unknown,Average,Average,Yes,Yes,All information on GARFIELD can be found on: WORKINWHISKERS.COM,https://post.rescueme.org/26-02-24-00351
FENDRAKE,Maine Coon / Domestic Cat,Male,Kitten,Riverside County,No,Unknown,Good,Unknown,Average,Average,Yes,Yes,All information on FENDRAKE can be found on: WORKINWHISKERS.COM,https://post.rescueme.org/26-02-24-00258
Blue,Russian Blue / Domestic Cat,Female,Young Adult,Nevada County,No,Unknown,Good,Good,Average,Average,Yes,Unknown,"I'm looking to rehome my beautiful 4-year-old Russian Blue named Blue. She was gifted to me around Christmas and is truly one of the most loving, cuddly cats I've ever met.  Blue is: �'ۢ About 4 years old �'ۢ A gorgeous Russian Blue �'ۢ Very affectionate and people-oriented �'ۢ A total snuggle bug - all she wants to do is be close to you �'ۢ Low to no shedding  She absolutely thrives on attention and would do best in a home where someone is around often - ideally someone who works from home or is retired and wants a constant companion. She just wants to curl up next to you and be loved.  The only reason I'm rehoming her is that she has become territorial with my current cat despite my efforts to help them adjust. Because of that, I believe she would do best as the only pet in the home where she can have all the love and attention to herself.  She is truly adorable and has the sweetest personality. My priority is finding her a very safe, stable, and loving home. I will be thoughtful about placement and would love to learn a little about you and the environment she'd be going to.  If you think you could be the right home for Blue, please message me and tell me a bit about yourself. ��ժ",https://post.rescueme.org/26-02-24-00250
Cutter,Domestic Cat,Male,Young Adult,San Francisco County,No,Good,Good,Not Good,High,Dominant,Yes,Yes,Cutter   Cutter the ninja cat needs a new home! He was missing for 3 years and ended up in cat jail and they gave me a call and said - come get your cat! But three years later we have two other cats and cutter plays just a a little too hard. He means well but it's just stressful for the other cats so Cutter just needs his own place.   He is a ninja cat that is super cool and would love to be your chillin buddy. Ideally he needs somebody that doesn't have any other cats.,https://post.rescueme.org/26-02-24-00166
Taz,American Shorthair / Domestic Cat,Male,Adult,Santa Clara County,No,Unknown,Good,Good,Average,Average,Yes,Yes,"Our family cat we got from humane society when he was about 6 weeks old. He is very social with everyone and loves attention. He is lovable and enjoys company. Have to rehome due to severe allergies, and really hope to find him a good home with someone who will love and care for him. Preferable with no other pets, that is what he has been accustomed to, and always has been an indoor cat.",https://post.rescueme.org/26-02-23-00387
,Domestic Cat,Female,Kitten,San Diego County,No,Unknown,Good,Good,Average,Average,Yes,Unknown,"I rescued this sweet girl from a bad living situation.    I am also currently trying to rescue her sister from the same living situation.  This adorable girl is looking for her furever home! She is about 1 years old with a playful, affectionate personality to match. She loves to be petted, plays with toys and loves to snuggle on your lap ����  She does not have a name.   She has been an indoor/outdoor kitty. She gets along with my other female cats and is good with children.  She has been spayed. I have her back to being healthy. She uses the litter box. She eats crunchies, soft food and drinks water.  Let me know if you want to add this super sweet little girl to your family ��%A4%8D�٩�",https://post.rescueme.org/26-02-23-00252
Urgent on Feb 27th!,Domestic Cat,Female,Unknown,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"I am described as a female, black Domestic Shorthair mix.  My age is unknown.  I weigh approximately 4.70 lbs.  I have been at the shelter since Feb 20, 2026 and I may be available for adoption on Feb 27, 2026 at 10:21AM.",https://post.rescueme.org/26-02-22-00218
Urgent on Feb 26th!,Domestic Cat,Male,Unknown,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,"I am described as a male, white and gray Domestic Shorthair.  My age is unknown.  I have been at the shelter since Feb 20, 2026 and I may be available for adoption on Feb 26, 2026 at 7:00AM.",https://post.rescueme.org/26-02-22-00217
Urgent on Feb 24th!,Domestic Cat,Male,Young Kitten,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,No,"I am described as a male, black Domestic Shorthair.  The shelter thinks I am about 14 weeks old.  I weigh approximately 2.38 lbs.  I have been at the shelter since Feb 17, 2026 and I may be available for adoption on Feb 24, 2026 at 11:12AM.",https://post.rescueme.org/26-02-22-00215
Urgent Now!,Domestic Cat,Male,Young Adult,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"I am described as a male, gray tabby Domestic Shorthair.  The shelter thinks I am about 1 year.  I weigh approximately 10.00 lbs.  I have been at the shelter since Feb 14, 2026 and I am available for adoption now!  Adoption hours: Tuesday - Friday 10:00am - 5:00 pm | Saturday 10:30am - 3:30 pm.",https://post.rescueme.org/26-02-22-00192
KING ARTHUR,Domestic Cat,Male,Young Kitten,Riverside County,No,Unknown,Good,Unknown,Average,Average,Yes,Yes,All information on ABEL can be found on: WORKINWHISKERS.COM,https://post.rescueme.org/26-02-21-00202
Dainty,Domestic Cat,Female,Kitten,Orange County,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,"Dainty is a beautiful calico kitten.  Dainty got her name because she was the smallest of her litter but now that she has caught up in size and the name stuck!  Dainty enjoys being held, being cuddled and playing with her sister, Bandit.",https://post.rescueme.org/26-02-21-00014
Bandit,Domestic Cat,Female,Kitten,Orange County,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,"Bandit is a gorgeous 9-month-old calico with unique markings!  Bandit enjoys being around people and snuggling, plus playing with her sister Dainty.",https://post.rescueme.org/26-02-21-00013
Felicity,Domestic Cat,Female,Young Adult,Orange County,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,"Felicty is a gorgeous Calico who is looking for her forever home. A true sweetie, she will be a great companion in any home.",https://post.rescueme.org/26-02-21-00011
Binx,Siamese,Female,Kitten,Orange County,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,"I am a beautiful 8-month-old lilac point Siamese named Binx.  I'm friendly, cuddly, and absolutely adore being close to my people. I've got that classic Siamese charm: loving, social, and happiest when I'm with my people.  I should do well with other cats once I've had some time to get to know them. With a proper introduction and a little patience, I'm sure we'll be friends.  I am currently in a foster home.  You can meet me during our adoption events on Saturdays and Sundays 11:00 a.m. to 1:00 p.m. at the Lake Forest PetSmart.",https://post.rescueme.org/26-02-21-00008
,Siamese / Domestic Cat,Female,Young Kitten,Los Angeles County,No,Unknown,Good,Good,Average,Average,Yes,Yes,,https://post.rescueme.org/26-02-20-00077
Serena's Flamepoint,Siamese / Domestic Cat,Male,Young Kitten,Los Angeles County,No,Unknown,Good,Good,Average,Average,Yes,Yes,,https://post.rescueme.org/26-02-20-00073
Patricia's RB Beauty 1,Russian Blue / Domestic Cat,Female,Kitten,Los Angeles County,No,Unknown,Good,Good,Average,Average,Yes,Yes,,https://post.rescueme.org/26-02-19-00253
Cat,Domestic Cat,Male,Young Adult,Orange County,No,Unknown,Good,Good,Average,Submissive,Yes,Yes,Sylvester is a super smart young cat. Maybe just a little over a year old. He loves playing especially with my other foster.,https://post.rescueme.org/26-02-18-00339
Jingle bell,Domestic Cat,Female,Adult,,No,Unknown,Good,Not Good,Average,Dominant,Yes,Unknown,"Jingle bell is a great cat who loves adults and older kids. She gets scared when chased but loves to snuggle with calm people. She loves being outside and then comes in to get warm and sleep. She loves sleeping on a pile of clothes, under the bed or in a card board box. She's super sweet and we'd love her to go to a good home. We recently took her in with her two brothers when our grandfather passed away. She tolerates the other cats well but is not interested in playing with them. They all eat their food from the same bowl and our house trained to use the same litter box.",https://post.rescueme.org/26-02-18-00239
Blackey & Marshmellow,Domestic Cat,Male,Adult,Santa Clara County,No,Unknown,Good,Good,Average,Submissive,Yes,Unknown,"We have taken in 3 cats, but these are the males. Blacky and Marshmellow. They are bonded. And very sweet cats. They are house trained, very submissive, especially with our kids.they will run away and hide if they feel overwhelmed by them. Trust love to be outside and come in to snuggle for the night. We'd love to find good homes for the cats. They were our grandfathers who passed away in January. The cats are 5 years old and turn 6 in the middle of the year sometime.",https://post.rescueme.org/26-02-18-00234
Rsmd Siamese Beauty,Snowshoe / Domestic Cat,Female,Young Kitten,Los Angeles County,No,Unknown,Good,Good,Average,Average,Yes,Yes,,https://post.rescueme.org/26-02-18-00179
Org Freeway Boy,Domestic Cat,Male,Kitten,Los Angeles County,No,Unknown,Good,Good,Average,Average,Yes,Yes,,https://post.rescueme.org/26-02-18-00175
Punkin,Bengal,Female,Young Adult,Riverside County,No,Unknown,Good,Not Good,Low,Average,Yes,Yes,"Beautiful Bengal female needing a single cat home. She is affectionate & sweet. She is pretty calm for a Bengal, but is typical of the breed when it comes to curiosity. Indoors only. She is spayed, microchipped, & vaccinated. She can be a little shy at first, but warms up quickly. She is very social with her humans. She currently has a catio & loves it!! She especially likes the hammock. She is needing a new home because there are too many cats here for her comfort.",https://post.rescueme.org/26-02-18-00073
DR DEVON DAYAL,Domestic Cat,Male,Young Adult,Riverside County,No,Unknown,Unknown,Unknown,Average,Average,Yes,Unknown,All information on DR DEVON DAYAL can be found on: WORKINWHISKERS.COM,https://post.rescueme.org/26-02-17-00351
DR LEELA DEVI,Domestic Cat,Female,Young Adult,Riverside County,No,Unknown,Good,Unknown,Average,Average,Yes,Yes,All information on ADR LEELA DEVI can be found on: WORKINWHISKERS.COM,https://post.rescueme.org/26-02-17-00349
Zeus,Domestic Cat,Male,Kitten,Los Angeles County,No,Good,Good,Good,Average,Average,Yes,Yes,"He has all his vaccinations, he's neutered, and he's microchipped for tracking. He's affectionate if you give him love and patience.",https://post.rescueme.org/26-02-17-00264
Purr,Domestic Cat,Female,Young Adult,Solano County,No,Unknown,Good,Good,High,Dominant,Yes,No,"Loving Purr arrived to our household as an early Christmas surprise; with the originality of having to be fetched from on top of a tree, rather than under it.   For the last three months, Purr's shown her love of play ( cat tunnels and small balls, especially) and is quite at home around people and cats.  In regards to other cats, Purr will make it know she means to stand up for herself, pulling out the occasional hiss and faux-swat. But afterwards, she's quiet indifferent to other cats. Even feeling comfortable napping with some of the other ferals in the neighborhood.   Purr needs a loving home and play companion. We were told after getting her spayed, that as a white cat, she's prine to more health risks being an outside feral.   She's a survivor and cuddler and deserves the best.  P.S. Loves to chew ! (Even with her missing her top two fangs )",https://post.rescueme.org/26-02-17-00157
River Song,Domestic Cat,Female,Adult,Sacramento County,No,Good,Good,Good,Average,Submissive,Yes,Yes,"'River Song' is a beautiful Black & White Tuxedo kitty. She has the hair style of a maine coon, but is petite. She loves people and is extremely affectionate. Loud and rambunctious environments cause her anxiety, so a calm household is a must. She is outgoing and well behaved at the vet and boarding facility. She likes to talk to you and has the most adorable meows that change with her mood.  She was a bottle baby who is very sweet, but she has developed anxiety living in a home with other cats. For her mental health, she cannot be rehomed in a home with other cats. She is good with mellow dogs and will rub on them and sleep next to them. If you like yard work, she will follow you to the back garden and hang out with you while you work. She has no interest leaving the yard.  Adoption Fee Includes: -Current Vaccines & Lab Work (records available) -Current Flea/Heartworm Prevention -Spayed -Microchip -Supplies, food & flea/heartworm prevention!",https://post.rescueme.org/26-02-17-00015
HD Grey Beauty,Russian Blue / Domestic Cat,Female,Kitten,Los Angeles County,No,Unknown,Good,Good,Average,Average,Yes,Yes,Great with other cats of all ages.,https://post.rescueme.org/26-02-16-00213
Zeus,Domestic Cat,Male,Kitten,Los Angeles County,No,Good,Good,Good,Average,Average,Yes,Yes,"He has all his vaccinations, he's neutered, and he's microchipped for tracking. He's affectionate if you give him love and patience.",https://post.rescueme.org/26-02-16-00003
Kira,Ragdoll,Female,Adult,Orange County,No,Good,Good,Good,Average,Submissive,Yes,Yes, ,https://post.rescueme.org/26-02-16-00001
Grover,Domestic Cat,Male,Young Kitten,San Bernardino County,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,"This litter is from the Redlands where a resident is spaying/neutering a number of semi-feral adults. Grey tabby 'tuxedo' Telly is a shy sweetheart with the softest fur you've ever felt. Super outgoing black brother, Grover is also available. Orange tabby brother Oscar is pretty grouchy but if he softens up, he will be up for adoption too. As you can tell, they are named after Sesame Street characters.�%A0  The adoption fee includes being spayed/neutered, treated for fleas and worms, current shots and being chipped.�%A0 We also pay for the initial chip registration.�%A0�%A0  Adoption events are held�%A0Sundays at the Fontana Petco 12-4pm. We are always in need of fosterers, especially during the spring and summer 'kitten season'. Please inquire about fostering kittens or puppies, even if only for a few weeks at a time. The rescue will provide training and all materials and expenses, include approved vet visits.�%A0  https://petstablished.com/adoption_form/32024/generic",https://post.rescueme.org/26-02-15-00293
Telly,Domestic Cat,Male,Young Kitten,San Bernardino County,No,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,"This litter is from the Redlands where a resident is spaying/neutering a number of semi-feral adults. Grey tabby 'tuxedo' Telly is a shy sweetheart with the softest fur you've ever felt. Super outgoing black brother, Grover is also available. Orange tabby brother Oscar is pretty grouchy but if he softens up, he will be up for adoption too. As you can tell, they are named after Sesame Street characters.�%A0  The adoption fee includes being spayed/neutered, treated for fleas and worms, current shots and being chipped.�%A0 We also pay for the initial chip registration.�%A0�%A0  Adoption events are held�%A0Sundays at the Fontana Petco 12-4pm. We are always in need of fosterers, especially during the spring and summer 'kitten season'. Please inquire about fostering kittens or puppies, even if only for a few weeks at a time. The rescue will provide training and all materials and expenses, include approved vet visits.�%A0  https://petstablished.com/adoption_form/32024/generic",https://post.rescueme.org/26-02-15-00292
Kitleretta,Domestic Cat,Female,Senior,San Luis Obispo County,No,Good,Good,Good,Low,Submissive,Yes,Unknown,Kitleretta loves to chat and has a big heart. This sweet girl will snuggle with you all day all she wants is a lap to call home �٩�,https://post.rescueme.org/26-02-15-00058
Choc Point Cutie,Siamese / Domestic Cat,Female,Young Kitten,Los Angeles County,No,Unknown,Good,Good,Average,Average,Yes,Yes,,https://post.rescueme.org/26-02-14-00059
Hesperia Flamepoint,Siamese / Domestic Cat,Male,Kitten,Los Angeles County,No,Good,Good,Good,Average,Average,Yes,Yes,,https://post.rescueme.org/26-02-13-00240
Christina's Cutie,Domestic Cat,Male,Kitten,Los Angeles County,No,Unknown,Good,Good,Average,Average,Yes,Yes,Very sweet boy with awesome bengal like markings.,https://post.rescueme.org/26-02-13-00239
Bruce,Domestic Cat,Male,Kitten,Orange County,No,Unknown,Unknown,Good,Average,Average,Yes,Yes,"Bruce is a normal active cat that is well tempered and affectionate. Loves to be pet and lets out a loud purr when he's comfortable. A true tuxedo cat. He has been raised as an indoor cat and uses a litterbox. Curious and doesn't show any fear of anything. Likes to play with toys and strings. Also known to take hair ties to play with. Being a curious kitten, care needs to be given when walking. He has been known to unexpectantly get under feet. Bruce is an indoor cat, but he does enjoy going outside on a leash. We currently have a feral cat that is kept outside. While he hasn't been socialized, they do play through the glass door. He has been neutered and is current on his shots. He has not been chipped.",https://post.rescueme.org/26-02-12-00196
Christina's Cute Boy,Russian Blue / Domestic Cat,Male,Kitten,Los Angeles County,No,Unknown,Good,Good,Average,Average,Yes,Yes,,https://post.rescueme.org/26-02-11-00223
CherryBlossom,American Shorthair / Domestic Cat,Female,Senior,San Diego County,No,Unknown,Good,Good,Low,Average,Yes,Yes,"Cherry Blossom is a 10-year-old American Shorthair with a big personality and a strong bond to her people. She is affectionate, talkative, and happiest when she's the center of attention. She enjoys being near her person and thrives on routine and interaction.  She lost her longtime companion and does best as the only cat in a calm household. She is not well-suited to homes with other cats, especially younger or dominant ones, but she does very well with people who are home often and enjoy an interactive companion.  Cherry Blossom has a history of urinary crystals that is well-managed with prescription food and consistent care. She is currently stable and healthy. Stress management and diet consistency are important for her long-term well-being.  To help ensure a smooth transition, we are happy to send her with everything she needs, including:  Litter box and litter  Prescription urinary food  Automatic feeder and water bowl  Toys, bedding, and familiar items  She is spayed, litter-trained, and very people-oriented. We are committed to finding the right home where she can relax, feel secure, and be someone's companion.",https://post.rescueme.org/26-02-10-00307
Boots,Russian Blue / Domestic Cat,Female,Young Adult,Sacramento County,No,Unknown,Good,Good,Average,Submissive,No,No,"Boots is a 3-year old unspayed female Russian Blue mix, not microchipped, not current on vaccinations. Boots is an indoor kitty who loves to be pet and sometimes cuddle :)",https://post.rescueme.org/26-02-09-00217
Bandit,Domestic Cat,Male,Young Adult,Sacramento County,No,Unknown,Good,Good,Average,Average,Yes,No,"Bandit is a 2-year old, neutered male shorthair mix, microchipped but not registered. He was vaccinated through his first year but is due for his second year vaccinations. He is a snuggler and loves to play!",https://post.rescueme.org/26-02-09-00215
Millie,Domestic Cat,Female,Kitten,Orange County,No,Good,Good,Good,High,Average,No,Yes,Millie is a playful kitten found in a neighborhood driveway. She has a bonded sister Maddie and should be preferably adopted together. Used to large dogs.,https://post.rescueme.org/26-02-09-00138
Leo and Riley,Domestic Cat,Male,Young Adult,Los Angeles County,No,Unknown,Unknown,Not Good,Average,Submissive,Yes,Yes,Leo and Riley are a bonded pair of brothers. They are sweet but shy and cautious. Leo lost a back leg to a coyote before being adopted by my father who passed recently. I cannot afford any more pets at the moment sadly :( they can be very affenctionate on their own terms but tend to keep a few feet of distance between themselves and people until they get comfortable. They do like affection once they get comfortable. They are very playful and need good loving homes. We think they would do better with adults as they have some former trauma before adoption and tend to just be very cautious. They both need to go together though. They are both currently receiving regular care until they find a new home. They also come with any general supplies they already have at their current place of residence.,https://post.rescueme.org/26-02-07-00108
Magnifico/Maggie,Snowshoe / Domestic Cat,Female,Young Adult,Los Angeles County,No,Unknown,Good,Unknown,Average,Average,Yes,Yes,My father recently passed away and I am unable to take on any more pets at the moment. Maggie is currently still receiving daily care while we look for a new home for her. She comes with any general cat supplies needed.  She is a former rescue and currently lives with two other male cats as well. They get along just  fine. We are unsure how she is with kids but she is very social with adults. She loves to be a lap cat but does not currently enjoy being held. She is very chatty and VERY smart. She can open kitchen drawers at times but we suspect this is due to lack of stimulation since her owner passed. She could be adopted with her two other 'catmates Leo and Riley' but would also thrive as a solo cat for a loving home.,https://post.rescueme.org/26-02-07-00102
