Name,Breed,Sex,Age,County,Urgent Status,Dog Compatibility,Cat Compatibility,Kid Compatibility,Energy,Temperament,Spayed/Neutered,Vaccinated,Description,URL
PETEY,Bull Terrier / Lab,Male,Puppy,San Bernardino County,No,Good,Unknown,Good,Average,Average,Yes,Yes,"New Arrival!  Fun, playful, and totally Petey!  Petey is a low-key sweetheart with a gentle soul and serious love for his people. If you're handing out pets or hugs, he's already there. He's happiest close by, just vibing with his person and soaking up attention.  Petey bonds hard and takes his relationships seriously, which means he can be a little clingy-but in the best, loyal-dog way. He's not into sharing the spotlight and would do best as an only dog where he can really shine.  He's smart, eager to learn, already knows sit and stay, and is working on his leash skills and confidence. With patience and consistency, he keeps getting better and more comfortable out in the world.  Petey would love an active home with a yard, a person who's down for adventures, and someone who wants a true sidekick. He's loving, loyal, and ready to be someone's favorite.  Click here and see how cute he is! https://www.youtube.com/watch?v=LojeH0yZxgU",https://post.rescueme.org/26-03-02-00105
URGENT AFTER 03/11,Cairn mix,Female,Adult,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"ID#A549352  I am described as a female, black Terrier.  The shelter thinks I am about 6 years old.  I weigh approximately 14.00 lbs.  I have been at the shelter since Mar 01, 2026 and I may be available for adoption on Mar 11, 2026 at 1:40PM.",https://post.rescueme.org/26-03-02-00095
URGENT AFTER 03/11,Cairn mix,Male,Young Adult,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"ID#A549353  I am described as a male, black Terrier.  The shelter thinks I am about 4 years old.  I weigh approximately 38.00 lbs.  I have been at the shelter since Mar 01, 2026 and I may be available for adoption on Mar 11, 2026 at 1:40PM.",https://post.rescueme.org/26-03-02-00094
URGENT AFTER 03/06,Pomeranian mix,Male,Senior,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"ID#A549327  I am described as a male, blonde Pomeranian mix.  The shelter thinks I am about 9 years old.  I weigh approximately 22.00 lbs.  I have been at the shelter since Feb 27, 2026 and I may be available for adoption on Mar 06, 2026 at 12:49PM.",https://post.rescueme.org/26-03-02-00093
URGENT AFTER 03/06,German Shepherd mix,Female,Adult,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,Yes,Yes,"JOY - ID#A512180  Shelter staff named me JOY and I am a spayed female, black and tan German Shepherd Dog.  The shelter thinks I am about 7 years old.  I weigh approximately 133.40 lbs.  I have been at the shelter since Feb 27, 2026 and I may be available for adoption on Mar 06, 2026 at 12:18PM.",https://post.rescueme.org/26-03-02-00092
URGENT AFTER 03/06,Siberian Husky mix,Female,Young Puppy,Riverside County,Yes,Unknown,Unknown,Unknown,Unknown,Unknown,No,Yes,"ID#A549320  I am described as a female, sable Siberian Husky mix.  The shelter thinks I am about 6 months old  I weigh approximately 21.20 lbs.  I have been at the shelter since Feb 27, 2026 and I may be available for adoption on Mar 06, 2026 at 10:06AM.",https://post.rescueme.org/26-03-02-00090
Jillian,Chihuahua,Female,Senior,Los Angeles County,No,Good,Good,Not Good,Average,Average,Yes,No,"Jillian is a sweet girl. She goes by Jillian, Jilly, JillyBean, JellyBean and Bean.  She loves laying on the couch with you, loves snuggling up with a good blanket. She will get up close and personal while you're eating if you let her, and she's vocal about her wants.  She is trained to go on a potty pad, and also does well with regular, short walks. She will sleep in a crate overnight, or in your bed or near you on her bed.  She does not like being picked up very much, but she will tolerate it if necessary.  We have not been able to keep up with her shots due to economic hardship and domestic violence, but she is spayed.  She has only ever been around her sister and littermate, and they have recently started having issues with one another. She needs to be in a home where she is the only dog and she can get all the love and affection and cuddles she deserves.  Our situation is especially dire now as we experience homelessness and desperately want to find her a good home.",https://post.rescueme.org/26-03-02-00054
MICKEY,White Shepherd / Siberian Husky,Male,Young Adult,Los Angeles County,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Hi, meet Mickey, a big 2yr old cutie weighing in at 65-70lbs. He has the most adorable floppy ears and light greenish hazel eyes and the sweetest personality. We're not sure his exact breeds but going by his looks and shelter description. Mickey loves people and dogs and plays very well with everyone. He's mostly great on the leash, pulls once in awhile on walks but his foster still thinks he's easy to walk and absolutely amazing. He impressed them on day 1 with how obedient he was. He knows sit, paw and down, so easily trainable. He is potty trained,  crate trained and overall,  a very good boy in the house. He was a staff favorite at the shelter but sadly due to overcrowding, his turn was finally up and our wonderful foster had to save him after meeting him so we wanted to help find this cutie a forever home. He would be a wonderful addition to your pack, a perfect bestie sidekick for life's adventures with you or an amazing family dog that will brighten everyday and make you smile with his expressions and his 1 floppy ear! Mickey is one of those 1 in a million dogs that is just perfect! Sadly, so many great dogs are euthanized for space but Mickey was saved for a special reason, was he saved for you? Mickey is neutered, vaccinated and will be chipped soon. You can foster to adopt or adopt our special boy! Get your application in ASAP for the best boy, Mickey!",https://post.rescueme.org/26-03-02-00014
Dexter von Dechow,German Shepherd mix,Male,Puppy,Los Angeles County,No,Good,Good,Good,Average,Average,Yes,Yes,Dexter von Dechow is a beautiful 9 month old German Shepherd mix. NO CATS  If you would like to meet this dog or learn more about them please visit our Westside German Shepherd Rescue website at www.sheprescue.org and complete an application so one of our coordinators can contact you.,https://post.rescueme.org/26-03-01-00324
River von Ralingen,German Shepherd mix,Female,Puppy,Los Angeles County,No,Good,Unknown,Good,Average,Average,Yes,Yes,River von Ralingen is a beautiful 1-2 year old fluffy mix of cuteness. If you would like to meet this dog or learn more about them please visit our Westside German Shepherd Rescue website at www.sheprescue.org and complete an application so one of our coordinators can contact you.,https://post.rescueme.org/26-03-01-00322
Jamie von Koserow,German Shepherd mix,Female,Puppy,Los Angeles County,No,Good,Good,Good,Average,Average,Yes,Yes,Jamie von Koserow is a beautiful 10-11 month old German Shepherd mix. (NO CATS)  If you would like to meet this dog or learn more about them please visit our Westside German Shepherd Rescue website at www.sheprescue.org and complete an application so one of our coordinators can contact you.,https://post.rescueme.org/26-03-01-00321
Alexa von Amberg,German Shepherd mix,Female,Puppy,Los Angeles County,No,Good,Good,Good,Average,Average,Yes,Yes,Alexa von Amberg is a gorgeous 18 month old German Shepherd mix. If you would like to meet this dog or learn more about them please visit our Westside German Shepherd Rescue website at www.sheprescue.org and complete an application so one of our coordinators can contact you.,https://post.rescueme.org/26-03-01-00320
Ebony von Elsberg,Lab mix,Female,Puppy,Los Angeles County,No,Good,Unknown,Good,Average,Average,Yes,Yes,Ebony von Elsberg is the sweetest 7 month old lab mix. If you would like to meet this dog or learn more about them please visit our Westside German Shepherd Rescue website at www.sheprescue.org and complete an application so one of our coordinators can contact you.,https://post.rescueme.org/26-03-01-00319
Chef,Bulldog,Male,Adult,Alameda County,No,Good,Unknown,Not Good,High,Dominant,Yes,Yes,"Chef is an incredibly healthy sweet loving English bulldog that has been with us since he was six weeks old. He does not do well with children although he loves my son very much as he's known him since birth and is very tolerant of a 2 1/2 year-old. However, any other kids is a hard no. He does great with little dogs, but big dogs are hit or miss. He absolutely despises, huskies and shepherds or any dogs with husky looking eyes. It's best to keep him away from big dogs in general. He's super active for a seven year-old bulldog. He has a ton of energy. He loves to play, run, fetch, tug-of-war, wrestle, anything- you name it. He is very high energy for a 75 pound English bulldog of seven years old. If you are looking for a lazy couch potato, he's not it but he does know how to cuddle up and sleep throughout the day. I'm recently separated, a single mother and a business owner and I just do not have the time or money to give him the life he deserves anymore. I truly want him to go to a home that will give him the love and attention he craves and deserves. He is such a good boy and I love him so much, but there's only so much I can do alone nowadays.",https://post.rescueme.org/26-03-01-00318
Shelby von Sonne,German Shepherd mix,Female,Young Puppy,Los Angeles County,No,Good,Unknown,Good,Average,Average,Yes,Yes,Shelby von Sonne is a beautiful 4 month old German Shepherd mix puppy. If you would like to meet this dog or learn more about them please visit our Westside German Shepherd Rescue website at www.sheprescue.org and complete an application so one of our coordinators can contact you.,https://post.rescueme.org/26-03-01-00316
Max,Golden Retriever mix,Male,Young Adult,Riverside County,No,Good,Unknown,Good,Unknown,Unknown,Yes,Yes,"URGENT FOSTER/ADOPTER NEEDED: Meet Maxwell (Max) Your Future Best Friend! Say hello to Maxwell, a 3-year-old Golden Retriever mix with a heart as golden as his coat! Max's journey is one of resilience and love. Once rescued from Lancaster Animal Care Center, he quickly became a staff favorite, charming everyone with his gentle spirit and joyful personality. Now thriving in professional training, Max continues to impress! He's incredibly smart, well-mannered, and eager to please. Walks beautifully on leash. Knows all his basic commands. Takes treats gently and patiently.  Loves toys, balls, and playtime. Gets along well with other dogs. Max enjoys structure and routine, and he truly shines in a calm, loving environment. Once he builds trust, he's wonderfully affectionate. A loyal companion who'll melt your heart with every wag of his tail. With his easygoing personality (the Golden in him definitely shows!), Max is ready to bring endless love, laughter, and warmth to his forever home. If you're ready to meet this special boy and make him part of your family, please contact Jennifer at +1 (714) 366-8170 (text preferred) with Pumpkin Pawz Rescue. Let's help Max find the forever home he's been waiting for one filled with love, fun, and new adventures!",https://post.rescueme.org/26-03-01-00315
Yuki von Ziesar,German Shepherd mix,Male,Young Adult,Los Angeles County,No,Good,Good,Good,Average,Average,Yes,Yes,Yuki von Ziesar is a gorgeous 2 year old long haired German Shepherd mix. If you would like to meet this dog or learn more about them please visit our Westside German Shepherd Rescue website at www.sheprescue.org and complete an application so one of our coordinators can contact you.,https://post.rescueme.org/26-03-01-00314
Teddy,German Shepherd,Male,Adult,Riverside County,No,Good,Unknown,Good,Unknown,Unknown,Yes,Yes,"URGENT: Teddy Desperately Needs a Foster or Forever Home A very special German Shepherd named Teddy is in a heartbreaking situation and urgently needs our help. Teddy was purchased as a Christmas gift (which is never a good idea) for two young children when they were just 5 and 1 years old. The kids are now 11 and 8, and their mother is no longer in their lives. Their grandmother, Ana, took full custody of both the children and Teddy. Sadly, she can no longer care for him financially or provide the space and attention he needs. Heartbreakingly, the family recently purchased a Poodle, leaving Teddy forgotten and neglected. Don't get me started! Teddy spends every day confined to a small outdoor kennel in the backyard with little to no attention only let out to relieve himself before being put right back inside. No dog deserves to live like this. The grandmother considered taking him to the pound but fears he will be euthanized. She wants better for him but doesn't know what else to do. Teddy is a 6-year-old neutered, well-behaved, and gentle giant who loves people. He gets along with other dogs and, despite losing half of his right ear in a dog attack at 8 weeks old, carries no emotional scars. He is sweet, resilient, and simply yearning for love. Please, open your heart to Teddy. He deserves more than a life in a kennel. He deserves affection, freedom, adventure, and a family that truly cares for him. If you can foster, foster-to-adopt, or adopt, please contact Jennifer with Pumpkin Pawz Rescue at +1 (714) 366-8170 (text preferred). Teddy is waiting. Don't let him spend another day forgotten. The pictures you see outside of the kennel was taken during his bathroom break; otherwise, he is always inside the outside kennel. Day and night in all kinds of weather.",https://post.rescueme.org/26-03-01-00312
Boo Boo,Pomeranian mix,Female,Adult,Riverside County,No,Good,Unknown,Good,Unknown,Unknown,Yes,Yes,"VIDEO INCLUDED: MEET BOO BOO: THE LITTLE LOVEBUG WHO STOLE OUR HEARTS! Hi friends, please help us share this precious girl far and wide! Boo Boo got her adorable name because she arrived to her loving foster home on Halloween in 2024 and ever since, she's been spreading sweetness like candy! She's an approximately 7-year-old female Pomeranian mix who's truly a gentle, joyful soul looking for her forever family. ALL ABOUT BOO BOO: The SWEETEST, most LOVING little girl. Obsessed with belly rubs- she'll roll over and smile every time. Loves to chase a ball (even if she doesn't always bring it back).  Big fan of car rides, the windows down, ears flapping kind! And yes, she LOVES McDonald's chicken sandwiches. Boo Boo has so much love to give, and she deserves a home where she can be cherished and adored every single day. She's low maintenance, affectionate, and full of charm- the perfect companion. If you're interested in giving Boo Boo the forever home she deserves, please TEXT Jennifer at Pumpkin Pawz Rescue: (714) 366-8170. Text is best! PLEASE SHARE with your friends, family, and social media circles. It takes a village to help sweethearts like Boo Boo find their happily ever after.",https://post.rescueme.org/26-03-01-00310
Saffron,Pit Bull mix,Female,Young Adult,Riverside County,No,Good,Unknown,Good,Unknown,Unknown,Yes,Yes,"VIDEO INCLUDED: Everyone, meet beautiful girl, Saffron. Saffron is a lovely, young and petite Pit Bull. She is approx 3 years old. She is a death row shelter survivor, being rescued just hours before she was scheduled to be euthanized. She is a very special girl!! She longs to be loved and to have a close bond with the humans in her life. After spending two years in a boarding facility, she finally has a loving foster family. She is now in a home environment, surrounded by love, security, fun and play. Saffron can be a little shy at first, when meeting new people, but she warms up pretty quickly, once she feels safe and loved. She is good with other dogs- big and small. She is so cute to watch her try to play and engage with other dogs. Saffron enjoys going on walks, getting love and affection from her humans (she gives the most gentle kisses), and she delights in the indulgence of her favorite yummy treats! Saffron is absolutely precious!! She longs to have a forever home and forever family of her own. Would you be willing to open your home and your heart to this sweet angel and give her a loving forever home? Adoption process needs to be 100% approved.",https://post.rescueme.org/26-03-01-00309
Ginger,German Shepherd mix,Female,Young Adult,Riverside County,No,Good,Unknown,Good,Unknown,Unknown,Yes,Yes,"URGENT FOSTER/ADOPTER NEEDED! Video included. Ginger's life was filled with heartbreak and neglect, but despite everything, she remains the sweetest, most loving soul. This beautiful 3-year-old German Shepherd used to live in the high desert, locked in a dog run 24/7 and had no shelter from the scorching desert sun or freezing nights, no fresh water in her bucket, and barely enough food to survive. She was very thin. She lived among filth and trash and her own feces, deplorable conditions, yet when Jennifer arrived, Ginger greeted her with kisses and love, desperate for even the smallest bit of kindness. She was so grateful when Jennifer filled her water bucket. Her caramel-colored eyes tell a story of longing, longing for food, warmth, affection, and a family who truly cares.  Ginger is currently safe in boarding, she knows how to sit on command, adores toys, and was eager for the treats Jennifer had, a heartbreaking reminder of how little she was given. Ginger loves meeting new people and she is friendly from the moment she meets you. Ginger deserves safety, warmth, full meals, and a family who will love and cherish her. She has so much love to give.  Can you foster, adopt, or consider an adoption trial? Please contact Jennifer with Pumpkin Pawz Rescue at (714) 366-8170 (text preferred). Please share far and wide on your social media platforms. Let's find Ginger the home she's been waiting for her whole life.",https://post.rescueme.org/26-03-01-00308
Eleanor,Belgian Malinois / German Shepherd,Female,Young Adult,Riverside County,No,Good,Unknown,Good,Unknown,Unknown,Yes,Yes,"URGENT FOSTER/ADOPTER NEEDED! Video included. Meet Eleanor! This sweet girl was found as a stray, but sadly, no one came looking for her. Now she's ready to find the forever family she deserves! Eleanor is an approx. 1 year old Belgian Malinois/German Shepherd mix and she's absolutely GORGEOUS inside and out. She is the SWEETEST girl on earth! She LOVES other dogs (and would be happiest with a doggy sibling to play with). She adores people and soaks up all the love she can get. She's playful, full of life, and always ready for fun. Belly rubs? Her FAVORITE! She'll flop over right away, asking for them. Snacks? Yes, please! Eleanor is pure joy wrapped in fur! A true LOVE who will make her forever family so, so happy. If you're interested in giving Eleanor the loving home she deserves, please contact Jennifer with Pumpkin Pawz Rescue at +1 (714) 366-8170 (text is best). Please share Eleanor's story so this sweet girl can find her happily ever after. It truly takes a village!",https://post.rescueme.org/26-03-01-00306
Lil Guy,Chihuahua / Dachshund,Male,Young Adult,Riverside County,No,Good,Unknown,Good,Unknown,Unknown,Yes,Yes,"VIDEO INCLUDED: Meet Lil' Guy Your New Best Friend! This adorable little Chiweenie (Chihuahua/Dachshund mix) is ready to wiggle his way into your heart! Lil' Guy- Approx 3 years old, 20ish lbs., 100% adorable and is currently being spoiled by his amazing foster family, but he's on the lookout for his forever home! Here's why you'll love him: Housebroken & well-behaved. LOVES playing with kids and furry friends. Obsessed with toys (the squeakier the better!) Treats? Yes, please! Knows how to sit like a pro. A total sweetheart and joyful little bundle. And just look at that face. Need we say more? f you think Lil' Guy could be the missing piece to your family, please reach out to Jennifer at Pumpkin Pawz Rescue at (714) 366-8170 (Text is best!). Please share this post- you never know who might fall in love with this cutie!",https://post.rescueme.org/26-03-01-00305
Duchess Lucy,German Shepherd,Female,Young Adult,Riverside County,No,Good,Unknown,Good,Unknown,Unknown,Yes,Yes,"VIDEO INCLUDED: Say hello to Duchess Lucy, a stunning 3 year old German Shepherd with floppy ears and the most captivating eyes you've ever seen and Duke, a 3-5 year old German Shepherd with a heart as big as his soulful eyes.  They were found abandoned on Dufferin Ave. in Riverside, dragging a rope still tied to Lucy's collar.  Despite the heartbreak of her past, Duchess Lucy's love for people hasn't wavered. Duchess adores affection, she'll lean into you, pressing close, as if to say, 'Thank you for seeing me.'  She's sweet, gentle, and dog-friendly, with a calm demeanor that makes her a joy to be around.   Duke is a gentle, mellow, and docile boy who's grateful for every ounce of kindness shown to him. Duke is incredibly loving, he melts into affection and offers his tender heart to anyone willing to open theirs. He's dog-friendly and non-reactive, calm around other pups, and wouldn't hurt a fly. They are ready to shower their forever family with love and gratitude.  Lucy and Duke may be separated if needed.  Could you open your heart to Duchess Lucy and show her the love she has been searching for? Please contact Jennifer at Pumpkin Pawz Rescue at +1 (714) 366-8170 if you can foster, foster-to-adopt, or adopt Duchess Lucy. If you can help, don't wait to reach out today and be the hero she needs!",https://post.rescueme.org/26-03-01-00303
Duke,German Shepherd,Male,Young Adult,Riverside County,No,Good,Unknown,Good,Unknown,Unknown,Yes,Yes,"VIDEO INCLUDED: Say hello to Duke, a 3-5 year old German Shepherd with a heart as big as his soulful eyes and Duchess Lucy, a stunning 3 year old German Shepherd with floppy ears and the most captivating eyes you've ever seen.  They were found abandoned on Dufferin Ave. in Riverside, dragging a rope still tied to Lucy's collar.  Despite the heartbreak of her past, Duchess Lucy's love for people hasn't wavered. Duchess adores affection, she'll lean into you, pressing close, as if to say, 'Thank you for seeing me.'  She's sweet, gentle, and dog-friendly, with a calm demeanor that makes her a joy to be around.   Duke is a gentle, mellow, and docile boy who's grateful for every ounce of kindness shown to him. Duke is incredibly loving, he melts into affection and offers his tender heart to anyone willing to open theirs. He's dog-friendly and non-reactive, calm around other pups, and wouldn't hurt a fly. They are ready to shower their forever family with love and gratitude.  Lucy and Duke may be separated if needed.  Could you open your heart to Duke and show him the love he has been searching for? Please contact Jennifer at Pumpkin Pawz Rescue at +1 (714) 366-8170 if you can foster, foster-to-adopt, or adopt Duke. If you can help, don't wait to reach out today and be the hero he needs!",https://post.rescueme.org/26-03-01-00302
Goku,Siberian Husky,Male,Puppy,Orange County,Yes,Good,Good,Good,Low,Submissive,Yes,Yes,"HI! My Name Is Goku Pet ID: #A756344 Intake Date: 02/12/2026 Gender: Male Age: 10 Months Old Breed: Siberian Husky Found At: 2500 Delta Ave, Long Beach, CA 90810  If you or someone you know can help please contact the shelter at 562.570.3080 or ",https://post.rescueme.org/26-03-01-00280
Charlie,Belgian Malinois,Female,Young Adult,Riverside County,No,Good,Good,Good,High,Submissive,No,No,Very Sweet and gentle female rescued from an abandoned house and needs a home immediately!,https://post.rescueme.org/26-03-01-00278
Fender,German Shepherd / Akita,Male,Puppy,Orange County,Yes,Good,Good,Good,Average,Submissive,Yes,Yes,"HI! My Name Is Fender Pet ID: #A756346 Intake Date: 02/12/2026 Gender: Male Age: 9 Months Old Breed: German Shepherd Mix Found At: 1900 Walnut Ave, Long Beach, CA 90806  If you or someone you know can help please contact the shelter at 562.570.3080 or ",https://post.rescueme.org/26-03-01-00275
Ella,German Shepherd mix,Female,Adult,Riverside County,No,Good,Good,Good,Unknown,Unknown,Yes,Yes,"Meet Ella ��%90%BE  Ella is a stunning German Shepherd, about 6 years old, with a sparkle that's impossible to miss. Everyone agrees the only reason she waited so long at the shelter was because she's missing some fur on her tummy-but honestly, we hardly notice it. All we see is her joyful, affectionate personality shining through.  Ella is incredibly friendly, smart, and highly trainable. She has the energy of a much younger dog (the vet says closer to a 2-year-old!) and loves long walks, adventures, and exploring the world by your side. She's also a top-tier cuddler and very affection-seeking once the fun is done.  She's house trained, crate trained, walks beautifully on a leash, and does great with kids, cats, and other dogs. Her missing tummy fur may never grow back, but it's not contagious and doesn't bother her one bit.  After spending months at the shelter with no interest, Ella finally got her second chance and is now living the spoiled life in a loving foster home. She's ready to bring her big heart, bright spirit, and endless love to her forever family.",https://post.rescueme.org/26-03-01-00273
Guerro,Pit Bull mix,Male,Young Adult,Riverside County,No,Good,Unknown,Good,Unknown,Unknown,Yes,Yes,"Meet Guerro ��ջ��%90%BE - strength of a superhero, heart of a total goober  If you've ever wondered what would happen if The Hulk had the personality of a lovable doofus�'�| meet Guerro.  Guerro is about 2 years old, 60 pounds, and built like a tank - pure muscle and very strong. But don't let the brawn fool you. Beneath that tough exterior is a sweet, silly, people-loving cuddle bug who just wants pets, affection, and to be included in whatever you're doing.  He's friendly with people and has a goofy charm that wins hearts fast. With other dogs, Guerro does well with proper, slow introductions and polite handling. He appears to be house-broken, rides great in the car, and once you arrive at your destination - patio restaurant, brewery, dog park, you name it - he's calm, happy, and soaking up the vibes like a pro.  Now, full disclosure: Guerro is very pully on leash, so he'll need a strong, confident handler who's ready to work on leash manners and channel all that power appropriately. Think Hercules strength with Scooby-Doo energy - big muscles, zero bad intentions, lots of lovable nonsense.  ��%8F� Ideal home for Guerro:  Active household  Secure yard to stretch those powerful legs  Someone who appreciates a big, blocky pit bull mix with a soft heart  A human who wants both an adventure buddy and a cuddle partner   Guerro is proof that big pit bull mixes aren't scary - they're sweet, affectionate, goofy, and deeply loyal. If you're looking for a strong boy with a gentle soul and a whole lot of personality, Guerro might just be your perfect match.  Ready to meet your new favorite goober?",https://post.rescueme.org/26-03-01-00272
Henessy,Rhodesian Ridgeback / Vizsla,Female,Puppy,Orange County,Yes,Good,Good,Good,Average,Submissive,Yes,Yes,"HI! My Name Is Henessy Pet ID: #A755918 Intake Date: 02/03/2026 URGENT: Needs Rescue Gender: Female Age: 10 Months Old Breed: Rhodesian Ridgeback Vizsla Mix Found At: 6650 Paramount Blvd, Long Beach, CA 90805  If you or someone you know can help please contact the shelter at 562.570.3080 or ",https://post.rescueme.org/26-03-01-00271
Lunch,American Bulldog / Australian Cattle Dog,Male,Puppy,Orange County,Yes,Good,Good,Good,Low,Submissive,Yes,Yes,"Breakfast may be the most important meal of the day, but we all know Lunch if everyone's favorite ;) It's #LunchTime  HI! My Name Is Lunch Pet ID: #A756631 Intake Date: 02/21/2026 Gender: Male Age: 1 Year Old Breed: American Bulldog Australian Cattle Dog Mix Found At: 500 E Pleasant St, Long Beach, CA 90805  If you or someone you know can help please contact the shelter at 562.570.3080 or ",https://post.rescueme.org/26-03-01-00252
Toretto,Dachshund / Chihuahua,Male,Adult,Sacramento County,No,Good,Unknown,Good,High,Submissive,Yes,Yes,"Toretto is a 7y/o dog with a lot of energy and love to give. Loves to play with children and adults alike. Loves to chase lasers and play fetch. Very well trained, he will spin at the door to let you know he needs to go out. Due to fortunate & unfortunate events alike, I am not able to keep him. As much as I hate to see him go, I would love for him to go to a family that can show him the attention he needs. No problems with him medically. He has known to be protective at times and nip people on the butt if he thinks you are hurting someone, nothing severe or out of the ordinary, just being protective. Great pup overall!  I will cover the adoption fee donation to Rescue Me!",https://post.rescueme.org/26-03-01-00184
Sapphire,Pit Bull,Female,Senior,Sacramento County,No,Good,Unknown,Good,Average,Submissive,Yes,Yes,"Sapphire is a 13y/o Blue Nose Pitbull. We've had her since she was just a pup, but due to fortunate & unfortunate events, we are unable to keep her and would rather her go to a home that can show her the attention and love that she needs. She is great around people and children. Loves to play with other dogs and even small dogs. Never bit anyone and only defends herself if need be. She is a true nanny dog. As any older big dog, she has rear leg issues that prevent her from long walks. She can get up the stairs, just takes her a little bit longer. She has 2 fatty lipomas, non-cancerous, on her left side and her tail; they have never affected her though. It is the hardest thing to give her up, just don't want her going to a shelter.  I will cover the adoption fee donation to Rescue Me!",https://post.rescueme.org/26-03-01-00181
Max,Lab mix,Male,Young Puppy,Los Angeles County,No,Good,Good,Good,Average,Average,No,Yes,"Welcome to Concerned Citizens Animal Rescue Inc. Sweet Baby Boy Max !���%A48 week old lab mix. Born on 12/25 and being given away in front of Smart & Final. He's up to date on vax, microchipped and we will cover his neuter  surgery at Simi Valley Spay Neuter clinic when he is 6 months old. Almost fully potty trained and learning to walk on a leash. Max is available now. Located in San Bernadino with a foster fam. He's avail for meet and greets now! If you wanting to set one up please send your inquiry to ",https://post.rescueme.org/26-03-01-00169
Kabir,Australian Shepherd,Male,Young Adult,Yuba County,Yes,Good,Unknown,Good,Average,Average,No,Yes,"Hello, my name is Kabir and I am a purebreed Australian Shepherd. I prefer to be an outdoor dog as I've never been in a house.  I love other animals and when I'm not begging for belly rubs I mostly hang out with my goat friends.  I'm not good with chickens though, as they are too tasty. I am up to date on shots/heartworm but not neutered. My current owner will pay for neutering if that is what you wish.  It breaks our owner's heart to have to leave me but they are moving to a house with no yard.",https://post.rescueme.org/26-03-01-00166
Shera,Doberman Pinscher,Female,Puppy,Los Angeles County,No,Good,Good,Good,High,Dominant,No,Yes,Female European Doberman,https://post.rescueme.org/26-03-01-00129
Bella,Maltese / Poodle,Female,Young Puppy,San Bernardino County,No,Good,Good,Good,Average,Average,No,Yes,Super adorable around 9 weeks old. Will come with 1st set of vaccines . Learning to use puppy pads. She's very loving and sweet.,https://post.rescueme.org/26-03-01-00123
Rubie,Westie mix,Female,Adult,Los Angeles County,No,Good,Unknown,Good,Average,Average,Yes,Yes,"Rubie is an adorable Westie/Poodle mix, about 9 years old and weighs about 20 lbs.  Her previous owners dumped her at a high kill shelter with major medical issues.  The shelter took care of a mass removal that she had, along with a hernia and her spay.  She had surgery for the cherry eye and has fully recovered.  She is doing great at her Foster home, she loves her walks and car rides. She is OK with other dogs with a proper introduction.  She is best suited in an adult home who can spend a lot of time with her, no kids. Rubie is up to date on vaccines, spayed and microchipped.  If you are interested in this amazing girl, please go to our website: www.amrdog.org and complete our adoption application. LOCAL AREA ADOPTION ONLY",https://post.rescueme.org/26-03-01-00115
,American Bulldog mix,Male,Puppy,San Bernardino County,No,Good,Unknown,Good,High,Submissive,No,Yes,,https://post.rescueme.org/26-03-01-00112
Merlin,Doberman Pinscher mix,Male,Puppy,Los Angeles County,No,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,Unknown,"Meet Merlin!   Merlin is a 6-month-old Doberman mix with a big heart and an even bigger sense of adventure. At around 40 lbs and growing, this sweet boy is the perfect blend of playful puppy energy and cuddle-ready affection.  Merlin is incredibly bright and eager to learn-he already knows how to sit and come when called! His recall is impressive. He's curious about the world and loves being right by your side, whether you're heading out for a walk, a hike, or a beach day. Water is one of his favorite things, and he's always up for exploring new sights and smells.  He's pack-oriented and very friendly with other dogs, wonderful with kids, and absolutely adores people. Merlin is very motivated by affection and thrives on love and attention. When the adventure winds down, he's happiest cuddled up close.  Merlin is house-trained, crate trained, and does especially well with potty training in a home with a yard. He's ready to settle into a forever home where he can continue learning, playing, and loving.  If you're looking for a loyal, adventurous, and incredibly sweet and smart companion, Merlin might just be your perfect match.",https://post.rescueme.org/26-03-01-00033
